epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2549.81,0.87562,0.94786,0.00337,0.89888,0.85985,0.94352,0.78688,0.65406,0.46828,0.00301,0.000149991,0.000149991,0.000149991
43,2612.16,0.87692,0.94228,0.00332,0.90337,0.86036,0.94473,0.79038,0.64954,0.46248,0.00298,0.000144942,0.000144942,0.000144942
44,2676.15,0.87471,0.94319,0.00333,0.90064,0.86335,0.94518,0.79337,0.64038,0.46035,0.00296,0.000139893,0.000139893,0.000139893
45,2738.47,0.87109,0.92937,0.00332,0.90338,0.86023,0.94597,0.79245,0.64619,0.45929,0.00298,0.000134844,0.000134844,0.000134844
46,2802,0.86945,0.92778,0.0033,0.90363,0.86127,0.94621,0.79351,0.64481,0.4558,0.00295,0.000129795,0.000129795,0.000129795
47,2865.22,0.87218,0.93421,0.00332,0.90763,0.86362,0.94691,0.79265,0.64654,0.45442,0.00297,0.000124746,0.000124746,0.000124746
48,2926.49,0.87691,0.93577,0.00332,0.90738,0.86533,0.9483,0.79531,0.63985,0.44896,0.00295,0.000119697,0.000119697,0.000119697
49,2989.77,0.86942,0.92118,0.00333,0.91239,0.86053,0.9483,0.79683,0.63778,0.44829,0.00292,0.000114648,0.000114648,0.000114648
50,3052.71,0.8646,0.9152,0.00329,0.91549,0.86218,0.94936,0.79738,0.63835,0.44508,0.00293,0.000109599,0.000109599,0.000109599
51,3114.38,0.87029,0.91587,0.0033,0.91319,0.86492,0.94937,0.79569,0.64011,0.44478,0.00294,0.00010455,0.00010455,0.00010455
52,3179.16,0.86158,0.91365,0.00326,0.91519,0.86449,0.95017,0.79856,0.6403,0.44279,0.00294,9.9501e-05,9.9501e-05,9.9501e-05
53,3242.15,0.86593,0.91338,0.00326,0.91535,0.86439,0.9507,0.79065,0.65955,0.44458,0.00304,9.4452e-05,9.4452e-05,9.4452e-05
54,3306.04,0.8656,0.91329,0.00325,0.911,0.86815,0.95066,0.80068,0.63019,0.43837,0.00289,8.9403e-05,8.9403e-05,8.9403e-05
55,3369.73,0.85871,0.90733,0.00327,0.91509,0.86808,0.95145,0.79935,0.63805,0.43758,0.00292,8.4354e-05,8.4354e-05,8.4354e-05
56,3430.15,0.85706,0.89514,0.00325,0.91591,0.86627,0.95169,0.8016,0.63345,0.43566,0.0029,7.9305e-05,7.9305e-05,7.9305e-05
